folder,file,ind,x_focal,y_focal,x_pp,y_pp
ckad_01_ckad_2020-10-29-17-01-56_0,1603980116730044171,0,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980118739616171,1,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980120749071171,2,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980122758655171,3,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980124768230171,4,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980126777810171,5,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980128720266171,6,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980130729844171,7,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980132739421171,8,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980134749007171,9,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980136758582171,10,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980138768036171,11,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980140710613171,12,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980142720194171,13,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980144729770171,14,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980146739224171,15,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980148748804171,16,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980150758389171,17,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
ckad_01_ckad_2020-10-29-17-01-56_0,1603980152767963171,18,1052.69873046875,1052.69873046875,969.119079589844,555.560913085938
